flow_rate_sm3_day,flow_rate_cap_sm3_day,low_permeability_flow_cap,cycle_length_days,cg_ratio,cg_type,permeability_md,porosity,pressure_mpa,temperature_c,top_depth_m,mean_depth_m,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
206782.0867980838,1500000.0,False,263.06791197562575,1.594441614969452,CH4,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
759887.015943976,1500000.0,False,49.70926380821432,0.9950849620756647,CH4,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
30692.380102252675,1500000.0,False,318.1585476289535,0.8233240542494118,CO2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
32320.95288942668,1500000.0,False,336.82353963311346,2.5603289580327275,CH4,271.0,0.22,11.5,49.23,1080.0,1449.75,1,12,12,9,Bunter Closure 35
270853.6153178255,1500000.0,False,14.28523523286462,2.0657390071629638,H2,100.0,0.14,0.7,12.2771,65.06,1591.16,0,16,16,25,Bunter Sandstone Formation Zone 4
149961.91493789872,1500000.0,False,168.4778890019022,3.2779729331692864,CH4,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
32759.8271517879,1500000.0,False,171.8832754633098,2.979070674399807,CH4,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
122264.43309762479,1500000.0,False,170.14940467074632,2.155420555887729,H2,1600.0,0.23,34.8,95.01,2260.0,2375.5,3,4,4,55,Fulmar_021_18
81645.12839928133,1500000.0,False,234.7631124935898,3.4258886128799473,N2,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
23251.825507903108,1500000.0,False,223.55250844266604,0.731203252467819,H2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
358119.88092570356,1500000.0,False,131.14994702087222,1.255063171472799,CO2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
117558.80799435065,1500000.0,False,93.56617997390154,3.196651133593677,CH4,306.6,0.18,41.4,100.47,2402.0,2759.0,1,6,6,61,Fulmar_021_30
174322.8076462162,1500000.0,False,135.67679554785735,1.541330897933374,CH4,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
254798.74272101955,1500000.0,False,184.7527024327564,2.1098357204727187,H2,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
