Field Name,Latitude,Longitude,Number of Wells,Porosity [-],Formation Temp [C],Pore Pressure [MPa],Salinity [ppm],Permeability [mD],Swr [-],CO2 Endpoint RelPerm,Gross Prod Rate/Well [cm/d],Water Prod Rate/Well [cm/d],Gas Saturation [-],Gas Gravity,RGIIP,Reservoir Pressure[MPa],Reservoir Temp [C],Gas Comp. Factor,Gas Viscosity [cp],Pore Volume,Temp Gradient,Cum,ref,,,,,,,
Tyne North gas field,54.483872,2.489215,2,0.11,115,36,81115.96,35.1,0.423,0.237,701808.2192,3.980821918,0.75,0.65,"2,321.98",42.42,116,1.084292,0.023,117.72024,29.88826816,1115.82,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.71,,,,,,,
Tyne South gas field,54.445735,2.479996,5,0.11,117,43.2,75509.39,48.4,0.423,0.237,295487.6712,1.685479452,0.75,0.65,"1,529.11",43.69,117,1.113891,0.023,153.1222,29.70027248,3104.67,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.71,,,,,,,
Boulton gas field,54.219636,2.151279,5,0.1,115,43.8,200000,73,0.423,0.237,2534030.137,0.001,0.61,0.65,"4,020.99",44.74,116,1.11092,0.023,436.62183,28.30687831,8134.85,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.53,,,,,,,
Caister C gas field,54.211971,2.445023,5,0.11,113,41.9,170000,5,0.423,0.237,510360.274,0.001,0.68,0.696,"5,266.93",42.83,114,1.10043,0.023,60.1392,29.61918195,5285.19,,,,,,,,
Hewett gas field,53.022614,1.773482,32,0.21,51,12.4,54724.03,500,0.423,0.237,-,-,0.8,-,"59,465.38",13.68,52,0.849021,-,889.73936,35.49307253,57720,https://assets.publishing.service.gov.uk/media/6294fcf1d3bf7f03667c656f/NS051-SS-REP-000-00024-Hewett_Conclusive_Report.pdf#page=10.11,,,,,,,
Hewett gas field (Bunter),53.002499,1.83176,7,0.23,42.2222,13.7,-,1300,0.423,0.237,-,-,-,-,"34,557.88",9.39,42,0.8723,-,-,-,43214.79,,,,,,,,
Hewett (Zechsteinkalk) gas field,53.0261,1.77406,32,0.08,54.4444,14.7,-,1,0.423,0.237,-,-,-,-,"5,932.38",14.73,54,0.87,-,-,-,5950,,,,,,,,
Breagh gas field,54.59776638,0.473399959,10,0.11,85,25.5,-,50,0.423,0.237,270096.2963,1.100716846,-,-,"12,884.17",25.81,85,0.96,0.019971,160.6,-,5135.88,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2019-15,,,,,,,
Cavendish gas field,54.46742832,1.757284058,5,0.08,99,42,-,7,0.423,0.237,637008.0645,10.33064516,-,-,"2,775.05",42.11,99,1.12,0.025199,51.88,-,2779.64,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2019-10,,,,,,,
Chiswick gas field,53.941318,2.729208859,2,0.1,110,39,-,1.5,0.423,0.237,388294.9309,5.768817204,-,-,"6,229.71",39.19,110,1.09,0.023907,124.95,-,7199.03,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2018-48,,,,,,,
Cygnus gas field,54.56982512,2.224941724,8,0.15,107,39.7,-,1,0.423,0.237,598847.9263,3.826036866,-,-,"21,096.05",39.69,107,1.1,0.024152,230.7513,-,11048.84,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2018-69,,,,,,,
Ensign gas field,53.5994719,1.779219903,1,0.1,80,27.57903,-,0.1,0.423,0.237,281754.8387,0.543010753,-,-,566.337,27.58,80,0.96,0.020736,105.5212,-,577.21,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2018-87,,,,,,,
Juliet gas field,53.5465173,0.765211218,2,0.18,93,28.61324,-,60,0.423,0.237,1033316.667,0,-,-,849.505,28.61,93,0.95,0.020832,18.4796,-,725.88,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2017-14,,,,,,,
Rhyl gas field,54.06878448,-3.688507095,2,0.15,38.3333,14.9892,-,500,0.423,0.237,394688.8889,0,-,-,"4,247.53",14.99,38.33,0.54,0.016045,76.1892,-,1725.16,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2018-84,,,,,,,
Albury Gas Field,51.2082,�-0.5206,1,0.25,31.6667,7.584233,,1060,,,,,,,84.9505,7.584233,31.6667,,,1.2186,,23.0527,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.79,,,,,,,
Saltfleetby Gas Field,53.3965,0.134,5,0.12,83.8889,24.5867,,10,,,,,,,2.32E+03,24.5867,83.8889,,,26.9047,,2.10E+03,https://www.lyellcollection.org/doi/epdf/10.1144/GSL.MEM.2003.020.01.77,,,,,,,https://ukogl.org.uk/map/php/pdf.php?subfolder=industry_reports&filename=41019.pdf
Crosby Warren gas field,53.60151,�-0.6205,2,0.14,58,16.91284,,10,,,,,,,62.3,16.91284,58,,,,,21,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2018-29,,,,,,,
CAYTHORPE gas field,54,-0.17,,0.2,63.8889,20.42227,,127,,,,,,,,20.42227,63.8889,,,2.5476,,,https://ukogl.org.uk/map/php/pdf.php?subfolder=industry_reports&filename=40855.pdf#page=1.00&gsr=0,,,,,,,
Marishes Gas Field,54.19994875,-0.699493994,,0.12,43.8889,15.23741,,1,,,,,,,,15.23741,43.8889,,,,,,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2017-33,,,,,,,
Malton Gas Field,54.17298888,-0.739835133,,0.12,40.5556,13.61025,,1,,,,,,,,13.61025,40.5556,,,,,,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2017-33,,,,,,,
Kirby Misperton  gas field,54.2039,-0.83,,0.11,51.1111,17.79537,,1,,,,,,,,17.79537,51.1111,,,,,,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2017-33,,,,,,,
Pickering Gas field,54.2352,-0.7928,,0.12,14.8651,42.2222,,1,,,,,,,,14.8,42,,,,,,https://www.lyellcollection.org/doi/epdf/10.1144/M52-2017-33,,,,,,,
KIRKLEATHAM gas field,54.6002,-1.1236,1,0.15,26.1111,8.714973,,335,,,,,,,219,8.714973,26.1111,,,3.1582,,175,https://ukogl.org.uk/map/php/pdf.php?subfolder=industry_reports&filename=42010.pdf#page=1.00&gsr=0,,,,,,,
